data,variable,value
2020-05-08,tempo_sedentario,688
2020-05-10,tempo_sedentario,676
2020-04-12,tempo_sedentario,712
2020-04-16,tempo_sedentario,1222
2020-05-03,tempo_sedentario,950
2020-05-04,tempo_sedentario,531
2020-05-05,tempo_sedentario,916
2020-05-06,tempo_sedentario,855
2020-05-08,tempo_sedentario,775
2020-05-10,tempo_sedentario,774
2020-04-14,tempo_sedentario,589
2020-04-15,tempo_sedentario,752
2020-04-16,tempo_sedentario,724
2020-04-18,tempo_sedentario,824
2020-04-19,tempo_sedentario,604
2020-04-20,tempo_sedentario,671
2020-04-21,tempo_sedentario,1265
2020-04-22,tempo_sedentario,709
2020-04-23,tempo_sedentario,546
2020-04-24,tempo_sedentario,692
2020-04-25,tempo_sedentario,544
2020-04-26,tempo_sedentario,649
2020-04-27,tempo_sedentario,680
2020-04-28,tempo_sedentario,552
2020-04-29,tempo_sedentario,624
2020-04-30,tempo_sedentario,695
2020-05-01,tempo_sedentario,836
2020-05-02,tempo_sedentario,585
2020-05-03,tempo_sedentario,669
2020-05-06,tempo_sedentario,692
2020-05-07,tempo_sedentario,586
2020-05-08,tempo_sedentario,603
2020-05-09,tempo_sedentario,490
2020-05-10,tempo_sedentario,555
2020-05-11,tempo_sedentario,574
2020-05-12,tempo_sedentario,0
2020-04-15,tempo_sedentario,837
2020-04-16,tempo_sedentario,609
2020-04-17,tempo_sedentario,721
2020-04-18,tempo_sedentario,1017
2020-04-19,tempo_sedentario,704
2020-04-20,tempo_sedentario,696
2020-04-21,tempo_sedentario,853
2020-04-22,tempo_sedentario,945
2020-04-23,tempo_sedentario,749
2020-04-24,tempo_sedentario,584
2020-04-26,tempo_sedentario,673
2020-04-27,tempo_sedentario,684
2020-04-28,tempo_sedentario,878
2020-04-30,tempo_sedentario,537
2020-05-01,tempo_sedentario,579
2020-05-02,tempo_sedentario,935
2020-05-04,tempo_sedentario,632
2020-05-05,tempo_sedentario,896
2020-05-05,tempo_sedentario,896
2020-05-07,tempo_sedentario,508
2020-05-08,tempo_sedentario,576
2020-05-09,tempo_sedentario,1020
2020-05-10,tempo_sedentario,648
2020-05-11,tempo_sedentario,858
2020-04-12,tempo_sedentario,787
2020-04-13,tempo_sedentario,840
2020-04-14,tempo_sedentario,717
2020-04-15,tempo_sedentario,711
2020-04-16,tempo_sedentario,716
2020-04-17,tempo_sedentario,1219
2020-04-19,tempo_sedentario,895
2020-04-20,tempo_sedentario,841
2020-04-21,tempo_sedentario,756
2020-04-22,tempo_sedentario,706
2020-04-25,tempo_sedentario,916
2020-04-26,tempo_sedentario,839
2020-04-27,tempo_sedentario,839
2020-04-28,tempo_sedentario,762
2020-04-29,tempo_sedentario,1106
2020-04-30,tempo_sedentario,797
2020-05-01,tempo_sedentario,741
2020-05-02,tempo_sedentario,667
2020-05-03,tempo_sedentario,725
2020-05-04,tempo_sedentario,897
2020-05-05,tempo_sedentario,734
2020-05-06,tempo_sedentario,809
2020-05-07,tempo_sedentario,866
2020-05-08,tempo_sedentario,733
2020-05-09,tempo_sedentario,641
2020-05-10,tempo_sedentario,783
2020-05-11,tempo_sedentario,622
2020-05-12,tempo_sedentario,380
2020-04-21,tempo_sedentario,844
2020-04-26,tempo_sedentario,1062
2020-04-29,tempo_sedentario,1096
2020-05-01,tempo_sedentario,1121
2020-05-08,tempo_sedentario,1019
2020-04-12,tempo_sedentario,718
2020-04-13,tempo_sedentario,777
2020-04-14,tempo_sedentario,772
2020-04-15,tempo_sedentario,944
2020-04-16,tempo_sedentario,556
2020-04-17,tempo_sedentario,437
2020-04-18,tempo_sedentario,890
2020-04-19,tempo_sedentario,757
2020-04-20,tempo_sedentario,717
2020-04-21,tempo_sedentario,901
2020-04-23,tempo_sedentario,469
2020-04-24,tempo_sedentario,542
2020-04-25,tempo_sedentario,730
2020-04-26,tempo_sedentario,765
2020-04-27,tempo_sedentario,733
2020-04-28,tempo_sedentario,738
2020-04-29,tempo_sedentario,692
2020-04-30,tempo_sedentario,728
2020-05-03,tempo_sedentario,729
2020-05-04,tempo_sedentario,757
2020-05-05,tempo_sedentario,745
2020-05-06,tempo_sedentario,682
2020-05-07,tempo_sedentario,577
2020-05-07,tempo_sedentario,577
2020-05-09,tempo_sedentario,746
2020-05-10,tempo_sedentario,701
2020-05-11,tempo_sedentario,784
2020-05-12,tempo_sedentario,241
2020-04-12,tempo_sedentario,767
2020-04-13,tempo_sedentario,647
2020-04-14,tempo_sedentario,693
2020-04-15,tempo_sedentario,689
2020-04-16,tempo_sedentario,521
2020-04-17,tempo_sedentario,943
2020-04-18,tempo_sedentario,622
2020-04-19,tempo_sedentario,756
2020-04-20,tempo_sedentario,598
2020-04-21,tempo_sedentario,801
2020-04-22,tempo_sedentario,781
2020-04-23,tempo_sedentario,443
2020-04-24,tempo_sedentario,582
2020-04-25,tempo_sedentario,732
2020-04-26,tempo_sedentario,750
2020-04-27,tempo_sedentario,745
2020-04-28,tempo_sedentario,727
2020-04-29,tempo_sedentario,709
2020-04-30,tempo_sedentario,506
2020-05-01,tempo_sedentario,436
2020-05-02,tempo_sedentario,724
2020-05-03,tempo_sedentario,812
2020-05-04,tempo_sedentario,651
2020-05-05,tempo_sedentario,692
2020-05-06,tempo_sedentario,761
2020-05-07,tempo_sedentario,902
2020-05-08,tempo_sedentario,505
2020-05-09,tempo_sedentario,667
2020-05-10,tempo_sedentario,707
2020-05-11,tempo_sedentario,628
2020-05-12,tempo_sedentario,222
2020-04-12,tempo_sedentario,728
2020-04-13,tempo_sedentario,776
2020-04-14,tempo_sedentario,662
2020-04-15,tempo_sedentario,695
2020-04-16,tempo_sedentario,472
2020-04-17,tempo_sedentario,525
2020-04-18,tempo_sedentario,623
2020-04-19,tempo_sedentario,733
2020-04-20,tempo_sedentario,773
2020-04-21,tempo_sedentario,670
2020-04-22,tempo_sedentario,823
2020-04-23,tempo_sedentario,627
2020-04-24,tempo_sedentario,425
2020-04-25,tempo_sedentario,743
2020-04-26,tempo_sedentario,759
2020-04-27,tempo_sedentario,773
2020-04-28,tempo_sedentario,692
2020-04-29,tempo_sedentario,739
2020-04-30,tempo_sedentario,621
2020-05-01,tempo_sedentario,499
2020-05-02,tempo_sedentario,732
2020-05-03,tempo_sedentario,580
2020-05-04,tempo_sedentario,631
2020-05-05,tempo_sedentario,1153
2020-05-10,tempo_sedentario,639
2020-05-11,tempo_sedentario,257
2020-04-16,tempo_sedentario,502
2020-04-17,tempo_sedentario,702
2020-04-18,tempo_sedentario,759
2020-04-19,tempo_sedentario,425
2020-04-20,tempo_sedentario,587
2020-04-21,tempo_sedentario,579
2020-04-22,tempo_sedentario,413
2020-04-23,tempo_sedentario,468
2020-04-24,tempo_sedentario,711
2020-04-27,tempo_sedentario,417
2020-04-28,tempo_sedentario,758
2020-04-29,tempo_sedentario,479
2020-05-01,tempo_sedentario,525
2020-05-05,tempo_sedentario,479
2020-05-06,tempo_sedentario,673
2020-05-07,tempo_sedentario,456
2020-05-08,tempo_sedentario,517
2020-05-09,tempo_sedentario,125
2020-04-13,tempo_sedentario,1053
2020-04-14,tempo_sedentario,863
2020-04-15,tempo_sedentario,976
2020-04-12,tempo_sedentario,796
2020-04-13,tempo_sedentario,548
2020-04-14,tempo_sedentario,862
2020-04-15,tempo_sedentario,837
2020-04-16,tempo_sedentario,741
2020-04-17,tempo_sedentario,634
2020-04-18,tempo_sedentario,689
2020-04-19,tempo_sedentario,659
2020-04-20,tempo_sedentario,639
2020-04-21,tempo_sedentario,708
2020-04-22,tempo_sedentario,659
2020-04-23,tempo_sedentario,484
2020-04-24,tempo_sedentario,720
2020-04-25,tempo_sedentario,637
2020-04-26,tempo_sedentario,680
2020-04-27,tempo_sedentario,697
2020-04-28,tempo_sedentario,621
2020-04-29,tempo_sedentario,645
2020-04-30,tempo_sedentario,731
2020-05-01,tempo_sedentario,722
2020-05-02,tempo_sedentario,655
2020-05-03,tempo_sedentario,654
2020-05-04,tempo_sedentario,683
2020-05-05,tempo_sedentario,591
2020-05-06,tempo_sedentario,717
2020-05-07,tempo_sedentario,745
2020-05-08,tempo_sedentario,709
2020-05-09,tempo_sedentario,607
2020-05-10,tempo_sedentario,626
2020-05-11,tempo_sedentario,709
2020-05-12,tempo_sedentario,127
2020-04-16,tempo_sedentario,1155
2020-05-01,tempo_sedentario,1142
2020-04-12,tempo_sedentario,745
2020-04-13,tempo_sedentario,744
2020-04-14,tempo_sedentario,787
2020-04-15,tempo_sedentario,864
2020-04-19,tempo_sedentario,671
2020-04-20,tempo_sedentario,797
2020-04-21,tempo_sedentario,758
2020-04-22,tempo_sedentario,762
2020-04-24,tempo_sedentario,566
2020-04-25,tempo_sedentario,706
2020-04-26,tempo_sedentario,726
2020-04-27,tempo_sedentario,829
2020-04-28,tempo_sedentario,810
2020-04-30,tempo_sedentario,584
2020-05-01,tempo_sedentario,685
2020-05-02,tempo_sedentario,737
2020-05-03,tempo_sedentario,761
2020-05-04,tempo_sedentario,843
2020-05-06,tempo_sedentario,834
2020-05-07,tempo_sedentario,621
2020-05-08,tempo_sedentario,695
2020-05-09,tempo_sedentario,743
2020-05-11,tempo_sedentario,757
2020-05-12,tempo_sedentario,343
2020-04-20,tempo_sedentario,695
2020-04-23,tempo_sedentario,741
2020-05-07,tempo_sedentario,1076
2020-04-12,tempo_sedentario,723
2020-04-13,tempo_sedentario,680
2020-04-14,tempo_sedentario,699
2020-04-15,tempo_sedentario,729
2020-04-16,tempo_sedentario,563
2020-04-17,tempo_sedentario,599
2020-04-18,tempo_sedentario,720
2020-04-19,tempo_sedentario,737
2020-04-20,tempo_sedentario,763
2020-04-21,tempo_sedentario,677
2020-04-22,tempo_sedentario,769
2020-04-23,tempo_sedentario,740
2020-04-24,tempo_sedentario,734
2020-04-25,tempo_sedentario,692
2020-04-25,tempo_sedentario,692
2020-04-26,tempo_sedentario,593
2020-04-27,tempo_sedentario,676
2020-04-28,tempo_sedentario,711
2020-04-29,tempo_sedentario,767
2020-04-30,tempo_sedentario,780
2020-05-01,tempo_sedentario,669
2020-05-02,tempo_sedentario,802
2020-05-03,tempo_sedentario,822
2020-05-04,tempo_sedentario,680
2020-05-05,tempo_sedentario,764
2020-05-06,tempo_sedentario,831
2020-05-07,tempo_sedentario,851
2020-05-08,tempo_sedentario,621
2020-05-09,tempo_sedentario,772
2020-05-10,tempo_sedentario,840
2020-05-11,tempo_sedentario,763
2020-05-12,tempo_sedentario,433
2020-04-12,tempo_sedentario,831
2020-04-13,tempo_sedentario,806
2020-04-14,tempo_sedentario,853
2020-04-15,tempo_sedentario,937
2020-04-20,tempo_sedentario,744
2020-04-22,tempo_sedentario,817
2020-04-23,tempo_sedentario,795
2020-04-27,tempo_sedentario,900
2020-04-28,tempo_sedentario,714
2020-04-29,tempo_sedentario,634
2020-04-30,tempo_sedentario,749
2020-05-01,tempo_sedentario,834
2020-05-02,tempo_sedentario,916
2020-05-03,tempo_sedentario,739
2020-05-04,tempo_sedentario,848
2020-04-12,tempo_leve_ativo,328
2020-04-13,tempo_leve_ativo,217
2020-04-15,tempo_leve_ativo,209
2020-04-16,tempo_leve_ativo,221
2020-04-17,tempo_leve_ativo,164
2020-04-19,tempo_leve_ativo,264
2020-04-20,tempo_leve_ativo,205
2020-04-21,tempo_leve_ativo,211
2020-04-23,tempo_leve_ativo,262
2020-04-24,tempo_leve_ativo,238
2020-04-25,tempo_leve_ativo,216
2020-04-26,tempo_leve_ativo,279
2020-04-28,tempo_leve_ativo,189
2020-04-29,tempo_leve_ativo,243
2020-04-30,tempo_leve_ativo,217
2020-05-01,tempo_leve_ativo,246
2020-05-02,tempo_leve_ativo,277
2020-05-03,tempo_leve_ativo,254
2020-05-05,tempo_leve_ativo,250
2020-05-06,tempo_leve_ativo,289
2020-05-07,tempo_leve_ativo,175
2020-05-08,tempo_leve_ativo,203
2020-05-09,tempo_leve_ativo,206
2020-05-10,tempo_leve_ativo,214
2020-05-11,tempo_leve_ativo,251
2020-04-29,tempo_leve_ativo,120
2020-04-30,tempo_leve_ativo,402
2020-05-02,tempo_leve_ativo,148
2020-05-08,tempo_leve_ativo,295
2020-04-15,tempo_leve_ativo,176
2020-04-30,tempo_leve_ativo,184
2020-05-01,tempo_leve_ativo,75
2020-04-12,tempo_leve_ativo,55
2020-04-13,tempo_leve_ativo,32
2020-04-15,tempo_leve_ativo,51
2020-04-26,tempo_leve_ativo,192
2020-04-28,tempo_leve_ativo,95
2020-04-12,tempo_leve_ativo,181
2020-04-13,tempo_leve_ativo,238
2020-04-14,tempo_leve_ativo,197
2020-04-15,tempo_leve_ativo,188
2020-04-16,tempo_leve_ativo,150
2020-04-17,tempo_leve_ativo,60
2020-04-19,tempo_leve_ativo,141
2020-04-20,tempo_leve_ativo,327
2020-04-21,tempo_leve_ativo,153
2020-04-22,tempo_leve_ativo,162
2020-04-23,tempo_leve_ativo,432
2020-04-24,tempo_leve_ativo,164
2020-04-25,tempo_leve_ativo,260
2020-04-27,tempo_leve_ativo,286
2020-04-28,tempo_leve_ativo,331
2020-04-29,tempo_leve_ativo,352
2020-04-30,tempo_leve_ativo,233
2020-05-01,tempo_leve_ativo,191
2020-05-02,tempo_leve_ativo,355
2020-05-04,tempo_leve_ativo,345
2020-05-05,tempo_leve_ativo,192
2020-05-06,tempo_leve_ativo,383
2020-05-07,tempo_leve_ativo,229
2020-05-08,tempo_leve_ativo,258
2020-05-09,tempo_leve_ativo,401
2020-05-10,tempo_leve_ativo,17
2020-05-11,tempo_leve_ativo,330
2020-05-12,tempo_leve_ativo,343
2020-04-23,tempo_leve_ativo,242
2020-04-13,tempo_leve_ativo,195
2020-04-14,tempo_leve_ativo,206
2020-04-15,tempo_leve_ativo,284
2020-04-17,tempo_leve_ativo,249
2020-04-18,tempo_leve_ativo,206
2020-04-19,tempo_leve_ativo,382
2020-04-21,tempo_leve_ativo,208
2020-04-22,tempo_leve_ativo,206
2020-04-23,tempo_leve_ativo,360
2020-04-24,tempo_leve_ativo,360
2020-04-25,tempo_leve_ativo,277
2020-04-26,tempo_leve_ativo,227
2020-04-27,tempo_leve_ativo,295
2020-04-28,tempo_leve_ativo,229
2020-04-29,tempo_leve_ativo,4
2020-04-12,tempo_leve_ativo,131
2020-04-13,tempo_leve_ativo,153
2020-04-14,tempo_leve_ativo,214
2020-04-15,tempo_leve_ativo,183
2020-04-16,tempo_leve_ativo,153
2020-04-17,tempo_leve_ativo,205
2020-04-18,tempo_leve_ativo,214
2020-04-19,tempo_leve_ativo,221
2020-04-20,tempo_leve_ativo,164
2020-04-21,tempo_leve_ativo,242
2020-04-22,tempo_leve_ativo,188
2020-04-23,tempo_leve_ativo,252
2020-04-24,tempo_leve_ativo,129
2020-04-25,tempo_leve_ativo,133
2020-04-26,tempo_leve_ativo,170
2020-04-27,tempo_leve_ativo,176
2020-04-28,tempo_leve_ativo,190
2020-04-29,tempo_leve_ativo,150
2020-04-30,tempo_leve_ativo,194
2020-05-01,tempo_leve_ativo,124
2020-05-02,tempo_leve_ativo,176
2020-05-03,tempo_leve_ativo,258
2020-05-04,tempo_leve_ativo,142
2020-05-05,tempo_leve_ativo,178
2020-05-06,tempo_leve_ativo,168
2020-05-07,tempo_leve_ativo,208
2020-05-08,tempo_leve_ativo,171
2020-05-10,tempo_leve_ativo,196
2020-04-12,tempo_leve_ativo,331
2020-04-16,tempo_leve_ativo,55
2020-05-03,tempo_leve_ativo,174
2020-05-04,tempo_leve_ativo,346
2020-05-05,tempo_leve_ativo,196
2020-05-06,tempo_leve_ativo,177
2020-05-08,tempo_leve_ativo,263
2020-05-10,tempo_leve_ativo,206
2020-04-14,tempo_leve_ativo,339
2020-04-15,tempo_leve_ativo,228
2020-04-16,tempo_leve_ativo,194
2020-04-18,tempo_leve_ativo,58
2020-04-19,tempo_leve_ativo,311
2020-04-20,tempo_leve_ativo,306
2020-04-21,tempo_leve_ativo,34
2020-04-22,tempo_leve_ativo,176
2020-04-23,tempo_leve_ativo,233
2020-04-24,tempo_leve_ativo,191
2020-04-25,tempo_leve_ativo,390
2020-04-26,tempo_leve_ativo,288
2020-04-27,tempo_leve_ativo,300
2020-04-28,tempo_leve_ativo,359
2020-04-29,tempo_leve_ativo,289
2020-04-30,tempo_leve_ativo,196
2020-05-01,tempo_leve_ativo,67
2020-05-02,tempo_leve_ativo,344
2020-05-03,tempo_leve_ativo,287
2020-05-06,tempo_leve_ativo,314
2020-05-07,tempo_leve_ativo,279
2020-05-08,tempo_leve_ativo,153
2020-05-09,tempo_leve_ativo,374
2020-05-10,tempo_leve_ativo,329
2020-05-11,tempo_leve_ativo,311
2020-05-12,tempo_leve_ativo,2
2020-04-15,tempo_leve_ativo,299
2020-04-16,tempo_leve_ativo,253
2020-04-17,tempo_leve_ativo,201
2020-04-18,tempo_leve_ativo,239
2020-04-19,tempo_leve_ativo,249
2020-04-20,tempo_leve_ativo,228
2020-04-21,tempo_leve_ativo,272
2020-04-22,tempo_leve_ativo,220
2020-04-23,tempo_leve_ativo,215
2020-04-24,tempo_leve_ativo,239
2020-04-26,tempo_leve_ativo,224
2020-04-27,tempo_leve_ativo,241
2020-04-28,tempo_leve_ativo,234
2020-04-30,tempo_leve_ativo,300
2020-05-01,tempo_leve_ativo,241
2020-05-02,tempo_leve_ativo,204
2020-05-04,tempo_leve_ativo,251
2020-05-05,tempo_leve_ativo,199
2020-05-05,tempo_leve_ativo,199
2020-05-07,tempo_leve_ativo,260
2020-05-08,tempo_leve_ativo,178
2020-05-09,tempo_leve_ativo,258
2020-05-10,tempo_leve_ativo,267
2020-05-11,tempo_leve_ativo,256
2020-04-12,tempo_leve_ativo,196
2020-04-13,tempo_leve_ativo,194
2020-04-14,tempo_leve_ativo,231
2020-04-15,tempo_leve_ativo,350
2020-04-16,tempo_leve_ativo,225
2020-04-17,tempo_leve_ativo,114
2020-04-19,tempo_leve_ativo,121
2020-04-20,tempo_leve_ativo,137
2020-04-21,tempo_leve_ativo,215
2020-04-22,tempo_leve_ativo,317
2020-04-25,tempo_leve_ativo,179
2020-04-26,tempo_leve_ativo,180
2020-04-27,tempo_leve_ativo,194
2020-04-28,tempo_leve_ativo,236
2020-04-29,tempo_leve_ativo,226
2020-04-30,tempo_leve_ativo,290
2020-05-01,tempo_leve_ativo,240
2020-05-02,tempo_leve_ativo,200
2020-05-03,tempo_leve_ativo,233
2020-05-04,tempo_leve_ativo,180
2020-05-05,tempo_leve_ativo,185
2020-05-06,tempo_leve_ativo,229
2020-05-07,tempo_leve_ativo,108
2020-05-08,tempo_leve_ativo,308
2020-05-09,tempo_leve_ativo,266
2020-05-10,tempo_leve_ativo,231
2020-05-11,tempo_leve_ativo,232
2020-05-12,tempo_leve_ativo,58
2020-04-21,tempo_leve_ativo,432
2020-04-26,tempo_leve_ativo,283
2020-04-29,tempo_leve_ativo,197
2020-05-01,tempo_leve_ativo,190
2020-05-08,tempo_leve_ativo,238
2020-04-12,tempo_leve_ativo,263
2020-04-13,tempo_leve_ativo,258
2020-04-14,tempo_leve_ativo,271
2020-04-15,tempo_leve_ativo,256
2020-04-16,tempo_leve_ativo,335
2020-04-17,tempo_leve_ativo,302
2020-04-18,tempo_leve_ativo,191
2020-04-19,tempo_leve_ativo,179
2020-04-20,tempo_leve_ativo,260
2020-04-21,tempo_leve_ativo,144
2020-04-23,tempo_leve_ativo,408
2020-04-24,tempo_leve_ativo,281
2020-04-25,tempo_leve_ativo,270
2020-04-26,tempo_leve_ativo,216
2020-04-27,tempo_leve_ativo,238
2020-04-28,tempo_leve_ativo,232
2020-04-29,tempo_leve_ativo,267
2020-04-30,tempo_leve_ativo,263
2020-05-03,tempo_leve_ativo,313
2020-05-04,tempo_leve_ativo,251
2020-05-05,tempo_leve_ativo,241
2020-05-06,tempo_leve_ativo,207
2020-05-07,tempo_leve_ativo,439
2020-05-07,tempo_leve_ativo,439
2020-05-09,tempo_leve_ativo,253
2020-05-10,tempo_leve_ativo,262
2020-05-11,tempo_leve_ativo,235
2020-05-12,tempo_leve_ativo,68
2020-04-12,tempo_leve_ativo,277
2020-04-13,tempo_leve_ativo,226
2020-04-14,tempo_leve_ativo,256
2020-04-15,tempo_leve_ativo,239
2020-04-16,tempo_leve_ativo,288
2020-04-17,tempo_leve_ativo,46
2020-04-18,tempo_leve_ativo,206
2020-04-19,tempo_leve_ativo,249
2020-04-20,tempo_leve_ativo,148
2020-04-21,tempo_leve_ativo,177
2020-04-22,tempo_leve_ativo,270
2020-04-23,tempo_leve_ativo,272
2020-04-24,tempo_leve_ativo,104
2020-04-25,tempo_leve_ativo,201
2020-04-26,tempo_leve_ativo,238
2020-04-27,tempo_leve_ativo,206
2020-04-28,tempo_leve_ativo,165
2020-04-29,tempo_leve_ativo,270
2020-04-30,tempo_leve_ativo,84
2020-05-01,tempo_leve_ativo,237
2020-05-02,tempo_leve_ativo,227
2020-05-03,tempo_leve_ativo,247
2020-05-04,tempo_leve_ativo,224
2020-05-05,tempo_leve_ativo,241
2020-05-06,tempo_leve_ativo,229
2020-05-07,tempo_leve_ativo,96
2020-05-08,tempo_leve_ativo,210
2020-05-09,tempo_leve_ativo,251
2020-05-10,tempo_leve_ativo,265
2020-05-11,tempo_leve_ativo,195
2020-05-12,tempo_leve_ativo,48
2020-04-12,tempo_leve_ativo,140
2020-04-13,tempo_leve_ativo,144
2020-04-14,tempo_leve_ativo,176
2020-04-15,tempo_leve_ativo,199
2020-04-16,tempo_leve_ativo,158
2020-04-17,tempo_leve_ativo,159
2020-04-18,tempo_leve_ativo,130
2020-04-19,tempo_leve_ativo,111
2020-04-20,tempo_leve_ativo,113
2020-04-21,tempo_leve_ativo,175
2020-04-22,tempo_leve_ativo,200
2020-04-23,tempo_leve_ativo,223
2020-04-24,tempo_leve_ativo,141
2020-04-25,tempo_leve_ativo,214
2020-04-26,tempo_leve_ativo,181
2020-04-27,tempo_leve_ativo,190
2020-04-28,tempo_leve_ativo,141
2020-04-29,tempo_leve_ativo,165
2020-04-30,tempo_leve_ativo,163
2020-05-01,tempo_leve_ativo,178
2020-05-02,tempo_leve_ativo,235
2020-05-03,tempo_leve_ativo,212
2020-05-04,tempo_leve_ativo,141
2020-05-05,tempo_leve_ativo,143
2020-05-10,tempo_leve_ativo,194
2020-05-11,tempo_leve_ativo,63
2020-04-16,tempo_leve_ativo,192
2020-04-17,tempo_leve_ativo,312
2020-04-18,tempo_leve_ativo,241
2020-04-19,tempo_leve_ativo,192
2020-04-20,tempo_leve_ativo,349
2020-04-21,tempo_leve_ativo,294
2020-04-22,tempo_leve_ativo,402
2020-04-23,tempo_leve_ativo,192
2020-04-24,tempo_leve_ativo,362
2020-04-27,tempo_leve_ativo,458
2020-04-28,tempo_leve_ativo,141
2020-04-29,tempo_leve_ativo,461
2020-05-01,tempo_leve_ativo,397
2020-05-05,tempo_leve_ativo,192
2020-05-06,tempo_leve_ativo,133
2020-05-07,tempo_leve_ativo,412
2020-05-08,tempo_leve_ativo,318
2020-05-09,tempo_leve_ativo,197
2020-04-13,tempo_leve_ativo,85
2020-04-14,tempo_leve_ativo,105
2020-04-15,tempo_leve_ativo,58
2020-04-12,tempo_leve_ativo,189
2020-04-13,tempo_leve_ativo,142
2020-04-14,tempo_leve_ativo,86
2020-04-15,tempo_leve_ativo,217
2020-04-16,tempo_leve_ativo,280
2020-04-17,tempo_leve_ativo,295
2020-04-18,tempo_leve_ativo,238
2020-04-19,tempo_leve_ativo,195
2020-04-20,tempo_leve_ativo,297
2020-04-21,tempo_leve_ativo,214
2020-04-22,tempo_leve_ativo,240
2020-04-23,tempo_leve_ativo,347
2020-04-24,tempo_leve_ativo,199
2020-04-25,tempo_leve_ativo,282
2020-04-26,tempo_leve_ativo,254
2020-04-27,tempo_leve_ativo,279
2020-04-28,tempo_leve_ativo,288
2020-04-29,tempo_leve_ativo,369
2020-04-30,tempo_leve_ativo,237
2020-05-01,tempo_leve_ativo,215
